country,region,priority,broker_name,website,email,phone,description,ipmi_score,ipmi_verdict,source,run_date
Lithuania,Small Europe,medium,Aon,https://uk.linkedin.com/company/aon,,,"We exist to shape decisions for the better — to protect and enrich the lives of people around the world. Through actionable analytic insight, globally ...",85,🟢 Strong IPMI match — Aon is a globally recognized multinational insurance and consulting firm that actively distributes international health insurance and employee benefits solutions to multinational corporations and expatriates worldwide.,LinkedIn Search,2026-07-20
Panama,LATAM,high,Seguro de salud privado en Panamá,https://www.pacificprime.lat/es/country/panama-health-insurance/,,,Mejor seguro de salud internacional en Panamá. Sobre Nosotros · País · Planes ... Broker before the National Insurance and Bonding Comission (Comisión ...,85,"🟢 Strong IPMI match — Pacific Prime is a recognized international health insurance broker operating in Panama with a dedicated page for expat and international health insurance products, registered with the National Insurance Commission.",SerpApi Supplementary,2026-07-20
Panama,LATAM,high,Cobertura de Seguro de Salud en América Latina,https://www.pacificprime.lat/es/country/,,,Panama Insurance Panamá. Paraguay Insurance Paraguay. Peru Insurance Perú ... ¿Es necesario un seguro de salud internacional para expatriados y viajeros en ...,85,🟢 Strong IPMI match — Pacific Prime is a recognized IPMI broker operating from Panama with a multi-country platform (evidenced by country-specific insurance pages for Latin America) and explicit targeting of expatriates and international travelers seeking health insurance across multiple jurisdictions.,SerpApi Supplementary,2026-07-20
Costa Rica,LATAM,high,Insured Nomads,https://www.linkedin.com/company/insurednomads,,,"Global insurance provider for the borderless citizen and multinational/distributed teams for health, travel, and wellbeing plans.",78,"🟢 Strong IPMI match — Insured Nomads describes itself as a global insurance provider offering health plans for borderless citizens and multinational teams, which aligns with IPMI broker characteristics, though the LinkedIn-only presence and lack of direct website verification introduces moderate uncertainty.",LinkedIn Search,2026-07-20
Global,Global,medium,Digital Nomads Insurance,/in-focus/digital-nomads-insurance,,,Listed in iPMI Global industry directory,75,"🟢 Strong IPMI match — The name and focus on digital nomads aligns with IPMI target market, though the URL structure suggests it may be a directory listing or informational page rather than an active broker website.",iPMI Global Directory,2026-07-20
Global,Global,medium,Global Excel,/global-excel,,,Listed in iPMI Global industry directory,75,"🟢 Strong IPMI match — Global Excel is a recognized international health insurance broker that actively distributes IPMI products to expatriates and globally mobile individuals, though the limited entry details prevent higher confidence verification.",iPMI Global Directory,2026-07-20
Global,Global,medium,International Medical Group,/international-medical-group,,,Listed in iPMI Global industry directory,75,"🟢 Strong IPMI match — International Medical Group is a legitimate IPMI broker known for selling expatriate and international health insurance products globally, though confirmation requires verification of current operational status and active distribution.",iPMI Global Directory,2026-07-20
Global,Global,medium,One Health Insurance,/one-health-insurance,,,Listed in iPMI Global industry directory,75,"🟢 Strong IPMI match — Listed in iPMI Global Directory with a global presence and name suggesting international health insurance operations, though limited information available to fully verify active IPMI distribution.",iPMI Global Directory,2026-07-20
Global,Global,medium,Insurance partners,,,,Listed on AXA Global Healthcare Broker,75,"🟢 Strong IPMI match — Listed on AXA Global Healthcare Broker platform indicates active participation in international health insurance distribution, though limited identifying information reduces certainty.",AXA Global Healthcare Broker,2026-07-20
Oman,Middle East,high,Fidelity Insurance Brokers Private Limited,https://pk.linkedin.com/company/fidelity-insurance-brokers,,,"... International Health Insurance, Kidnap & Ransom, and Retail Practice Group ... Lockton is the world's largest privately held independent insurance broker ...",75,"🟢 Strong IPMI match — Company explicitly mentions International Health Insurance as a service line and operates as an insurance broker in Oman, a jurisdiction with significant expatriate populations, though the LinkedIn profile appears to reference Lockton (a parent/partner entity) rather than being purely independent.",LinkedIn Search,2026-07-20
Qatar,Middle East,high,Lifecare International,https://ae.linkedin.com/company/lifecare-international,,,"As an independent ISO-9001 certified insurance broker, we look after the insurance and financial service needs of expatriates and local nationals.",75,"🟢 Strong IPMI match — Independent ISO-9001 certified insurance broker explicitly targeting expatriates and local nationals in Qatar, indicating IPMI distribution capability, though direct service confirmation from website is unavailable.",LinkedIn Search,2026-07-20
Vietnam,South/SE Asia,high,daily health insurance group,https://at.linkedin.com/company/dailyhealth,,,... international health solutions for the globally mobile community. Our ... Insurance Broker have been trusted partners in our operations across Vietnam ...,75,"🟢 Strong IPMI match — LinkedIn profile explicitly references 'international health solutions for the globally mobile community' and identifies as an 'Insurance Broker' operating across Vietnam, indicating IPMI distribution activity.",LinkedIn Search,2026-07-20
Vietnam,South/SE Asia,high,Principal Re Limited,https://my.linkedin.com/company/principalrelimited,,,Principal Re Limited | 38 pengikut di LinkedIn. A Licensed Labuan Insurance Broker ... BrokerFish Ltd (International Health Insurance). Insurans. Labuan ...,75,"🟢 Strong IPMI match — Principal Re Limited is a Labuan-licensed insurance broker with explicit mention of involvement in international health insurance distribution through BrokerFish Ltd, indicating active IPMI broker operations.",LinkedIn Search,2026-07-20
Luxembourg,Small Europe,high,Suisscourtage Assurances,https://mc.linkedin.com/company/suisscourtage-assurances,,,"... Luxembourg, Fort Lauderdale ... OnlyHealth | International Health Insurance https://onlyhealth-insurance.com.",75,"🟢 Strong IPMI match — Luxembourg-based company with direct reference to OnlyHealth international health insurance offering, indicating active distribution of IPMI products to globally mobile individuals.",LinkedIn Search,2026-07-20
Lithuania,Small Europe,medium,W Denis Europe UADBB,https://lt.linkedin.com/company/w-denis-europe-uab,,,"W Denis Europe UADBB, established in 2020, is the European subsidiary of W Denis Insurance Brokers PLC, a UK-based, internationally operating Lloyd's Broker.",75,"🟢 Strong IPMI match — W Denis Europe is a European subsidiary of a UK-based Lloyd's Broker with international operations, positioning it as likely engaged in IPMI distribution, though LinkedIn alone cannot confirm active IPMI sales.",LinkedIn Search,2026-07-20
Panama,LATAM,high,VIP Universal Medical Insurance Group (VUMI),https://www.linkedin.com/company/vumigroupinsurance,,,VIP Universal Medical Insurance Group (VUMI®) is an international health insurance company offering exclusive major medical insurance products and VIP medical ...,75,"🟢 Strong IPMI match — VIP Universal Medical Insurance Group (VUMI) is a Panama-based entity describing itself as an international health insurance company offering major medical insurance products, consistent with IPMI broker operations, though the truncated LinkedIn description and lack of website verification introduce some uncertainty.",LinkedIn Search,2026-07-20
Panama,LATAM,high,International Health Insurance for Colombia,https://seguros360.com/en/international-health-insurance-colombia/,,,"... Panama, and beyond, thousands of Colombians need ... What advantage does Seguros360 have over a local broker? ... seguro de salud internacional para individuos ...",75,"🟢 Strong IPMI match — Seguros360 is a Panama-based broker marketing international health insurance specifically to Colombians and expatriates, with website content referencing 'seguro de salud internacional' and positioning itself against local brokers.",SerpApi Supplementary,2026-07-20
Costa Rica,LATAM,high,Quienes somos,https://www.aseguratuviaje.com/sitio/asistencia-seguro,,,Seguro de Salud Internacional · Seguros de Asistencia Médica Internacional ... Seguro de Viaje Costa Rica · Seguro de Viaje para Sudafrica · Seguro de Viaje ...,75,"🟢 Strong IPMI match — Website offers international health insurance and travel insurance products ('Seguro de Salud Internacional', 'Seguros de Asistencia Médica Internacional') to travelers and expatriates, consistent with IPMI broker operations.",SerpApi Supplementary,2026-07-20
Global,Global,medium,MDabroad,/mdabroad,,,Listed in iPMI Global industry directory,72,"🟢 Strong IPMI match — MDabroad appears to be an IPMI broker based on its listing in the iPMI Global Directory and name suggesting international medical services, but confidence is moderate due to limited verifiable information from the provided entry alone.",iPMI Global Directory,2026-07-20
Saudi Arabia,Middle East,high,Lockton,https://www.linkedin.com/company/lockton-companies,,,"Our private ownership empowers our nearly 15,000 Associates doing business in over 140+ countries to focus solely on clients' risk and insurance needs. With ...",72,"🟢 Strong IPMI match — Lockton is a major multinational insurance broker with operations in 140+ countries that serves globally mobile clients and multinational employees, characteristics consistent with IPMI distribution, though the LinkedIn description does not explicitly mention international health insurance products.",LinkedIn Search,2026-07-20
Kuwait,Middle East,high,Elite insurance Consultants,https://www.linkedin.com/company/elite-insurance-consultants-company,,,"Elite insurance consultations Company , provides a variety of insurance services such as insurance solutions , risk surveys. International Insurance Brokerage ...",72,"🟢 Strong IPMI match — Company explicitly mentions 'International Insurance Brokerage' in description and provides insurance solutions, though limited online presence makes full verification difficult.",LinkedIn Search,2026-07-20
Qatar,Middle East,high,Lifecare International (Qatar) LLC,,,,Licensed insurance broker — Qatar financial regulator,72,"🟢 Strong IPMI match — Licensed insurance broker registered with Qatar's financial regulator, positioned to distribute international health insurance products to expatriates and globally mobile individuals in the Gulf region, though specific IPMI focus cannot be definitively confirmed without website access.",Gov Regulator — Qatar,2026-07-20
Qatar,Middle East,high,Al Dirae Insurance Brokers W.L.L (Shield),https://www.linkedin.com/company/al-dirae-insurance-brokers-w-l-l-shield,,,Al Dirae Insurance Brokers W.L.L (Shield) has been building its reputation in the Qatari Insurance market since 2013. across the local and international market ...,72,"🟢 Strong IPMI match — Al Dirae appears to be a legitimate Qatari insurance broker operating since 2013 with stated presence in both local and international markets, consistent with IPMI broker profile, though LinkedIn-only verification and lack of detailed website access prevent higher confidence.",LinkedIn Search,2026-07-20
Jordan,Middle East,high,INTEGRO - International Integrated Insurance Brokers LLC,https://jo.linkedin.com/company/integro---international-integrated-insurance-brokers-llc,,,International Integrated Insurance Brokers LLC is authorized and regulated by the Jordanian Insurance Commission Authority. telephone the IRC on 5656327.,72,"🟢 Strong IPMI match — Company name and description indicate it is an insurance broker regulated by the Jordanian Insurance Commission Authority, and the 'International Integrated' designation suggests focus on international insurance products including IPMI, though the LinkedIn profile alone does not explicitly confirm active IPMI distribution.",LinkedIn Search,2026-07-20
Sri Lanka,South/SE Asia,high,George Steuart Insurance Brokers Pvt Ltd.,https://lk.linkedin.com/company/gsinsurancebrokers,,,As an independent insurance broker we have access to all registered insurers in Sri Lanka and a to a network of global partners. George Steuart Insurance ...,72,"🟢 Strong IPMI match — Independent insurance broker based in Sri Lanka with stated access to global partner networks, suggesting capacity to distribute international health insurance to expatriates and globally mobile individuals, though LinkedIn-only presence and incomplete description prevent higher confidence.",LinkedIn Search,2026-07-20
Vietnam,South/SE Asia,high,Alea - Health Insurance & Benefits,https://hk.linkedin.com/company/alea-health-insurance?trk=public_post_feed-actor-name,,,... insurance broker specialised in health insurance ... international health insurance & service provider ... Hello Vietnam! We had the pleasure to ...,72,"🟢 Strong IPMI match — Company explicitly describes itself as an insurance broker specializing in health insurance and international health insurance & service provider, operating from Vietnam with Hong Kong LinkedIn presence, indicating IPMI focus.",LinkedIn Search,2026-07-20
Vietnam,South/SE Asia,high,HCI Group Global,https://uk.linkedin.com/company/hcigroupglobal,,,"International Health ... Cover available across Thailand, Vietnam, Cambodia ...",72,"🟢 Strong IPMI match — Company name and LinkedIn description explicitly reference 'International Health' with multi-country coverage (Thailand, Vietnam, Cambodia), suggesting active distribution of international health insurance products, though limited verification data available from LinkedIn profile alone.",LinkedIn Search,2026-07-20
Vietnam,South/SE Asia,high,Andika Assistant,https://id.linkedin.com/company/andikaassistant,,,"... international health, personal accident, and group-term life insurance, we ... ProASIA Insurance Broker & Consultant. Asuransi. Jakarta, DKI Jakarta · PT ...",72,"🟢 Strong IPMI match — Andika Assistant appears to be associated with ProASIA Insurance Broker & Consultant in Jakarta and explicitly mentions international health insurance distribution, indicating IPMI brokerage activity, though the LinkedIn-only presence and limited detail create moderate uncertainty.",LinkedIn Search,2026-07-20
Thailand,South/SE Asia,high,"VanderSure Co.,Ltd",https://www.linkedin.com/company/vandersure,,,... International health insurance across the Asia Pacific region take place. A ... We Asked a Thailand Health Insurance Broker Your Questions. https://www ...,72,"🟢 Strong IPMI match — VanderSure appears to be an international health insurance broker operating in Thailand with regional Asia Pacific coverage, though limited information is available and the LinkedIn profile provides only fragmentary evidence of IPMI distribution activities.",LinkedIn Search,2026-07-20
Thailand,South/SE Asia,high,NOMADS.insure,https://ee.linkedin.com/company/nomads-insure,,,"A few months ago, Christoph had an accident in Thailand and for the first time in more than 20 years, he had to rely on his own international health insurance.",72,"🟢 Strong IPMI match — NOMADS.insure based in Thailand with a name targeting nomadic/expat populations and a LinkedIn description referencing international health insurance for expatriates suggests an IPMI broker, though the LinkedIn URL format and limited information prevent higher confidence.",LinkedIn Search,2026-07-20
Philippines,South/SE Asia,high,Abacare Group Limited,https://th.linkedin.com/company/abacare-group-limited/,,,"เกี่ยวกับเรา. We are a leading international insurance broker ... 1201 Keppel Center, Cardinal Rosales Avenue. Cebu City, Philippines ... international health ...",72,"🟢 Strong IPMI match — Company describes itself as a leading international insurance broker with explicit mention of international health insurance and operates from Philippines with regional presence, indicating IPMI distribution activity.",LinkedIn Search,2026-07-20
Malaysia,South/SE Asia,high,Private Medical Insurance Brokers Ltd,https://uk.linkedin.com/company/private-medical-insurance-brokers,,,"Privately Held. Founded: 2023. Specialties: Insurance, Broker, Health Insurance ... International health insurance. Locations. Primary. Tunbridge Wells, GB.",72,"🟢 Strong IPMI match — Company explicitly lists 'International health insurance' as a specialty and identifies as an insurance broker, though the recent 2023 founding date and LinkedIn-only presence create some uncertainty about active operations.",LinkedIn Search,2026-07-20
Malaysia,South/SE Asia,high,"AOC Insurance Broker ""Insurtech""​ is leading a global ...",https://fr.linkedin.com/company/aoc-insurance-broker,,,"AOC Insurance Broker ""Insurtech"" is leading a global international health insurance advisor ... Bahasa Malaysia (Malaisien); Nederlands (Néerlandais); Norsk ...",72,"🟢 Strong IPMI match — Company name and description explicitly identify it as an international health insurance advisor/broker operating globally with multilingual support, consistent with IPMI distribution, though LinkedIn-only presence and limited verifiable details prevent higher confidence.",LinkedIn Search,2026-07-20
Malaysia,South/SE Asia,high,International Health and Speciality Risks (Pty) Ltd,https://za.linkedin.com/company/international-health-speciality-risks,,,"International Health and Speciality Risks (Pty) Ltd. is a specialist insurance broker based in Johannesburg, South Africa. The company specializes in ...",72,"🟢 Strong IPMI match — Company is described as a specialist insurance broker based in South Africa with focus on international health and specialty risks, suggesting IPMI distribution, though the incomplete description and LinkedIn-only verification create moderate uncertainty.",LinkedIn Search,2026-07-20
Latvia,Small Europe,medium,Inpro Insurance Brokers,https://ee.linkedin.com/company/inpro-insurance,,,"Inpro Insurance Brokers is a full-service professional insurance brokerage company. EU or Worldwide cover, a If Insurance Baltic Insurance Riga, Latvia",72,"🟢 Strong IPMI match — Inpro Insurance Brokers is described as a full-service professional insurance brokerage offering EU or Worldwide cover, indicating international health insurance distribution capabilities typical of IPMI brokers, though limited online presence prevents higher confidence.",LinkedIn Search,2026-07-20
Cyprus,Small Europe,high,Nicos Rossos Insurance Brokers,https://cy.linkedin.com/company/nicos-rossos-insurance,,,"... Insurance Broker means: • Access to multiple insurers ... While local plans are often ideal for those living exclusively in Cyprus, international health ...",72,"🟢 Strong IPMI match — Cyprus-based insurance broker with explicit mention of international health insurance offerings and positioning for those with cross-border needs, though limited detail available from LinkedIn source alone.",LinkedIn Search,2026-07-20
Iceland,Small Europe,medium,Northern1 International Insurance Brokers OÜ,https://ee.linkedin.com/company/northern1,,,"N1 insurance mediation activities are passported into all European Union member states and Iceland. Health Insurance, Term Life Insurance,",72,"🟢 Strong IPMI match — Northern1 is an EU-passported insurance broker explicitly offering health insurance services across EU member states and Iceland, consistent with IPMI distribution, though the LinkedIn entry lacks specific confirmation of expat or international health insurance focus.",LinkedIn Search,2026-07-20
Panama,LATAM,high,RightPlan,https://www.linkedin.com/company/rightplaninsurance,,,"Innovative healthcare solutions, including self-funded plans, captive, senior benefits, and global benefits … broker, financial planning,",72,"🟢 Strong IPMI match — RightPlan's description explicitly mentions 'global benefits' and 'broker' services, and Panama-based brokers typically specialize in international insurance products for multinational clients, though the LinkedIn-only presence and lack of website verification prevents higher confidence.",LinkedIn Search,2026-07-20
Panama,LATAM,high,Redbridge,https://www.linkedin.com/company/redbridge-insurance,,,Redbridge is an insurance and reinsurance management group specialized in global operations. s a large variety of Life and Health (Individual and Group) ...,72,"🟢 Strong IPMI match — Redbridge is described as an insurance and reinsurance management group specialized in global operations with Life and Health offerings (Individual and Group), which aligns with IPMI distribution, though the LinkedIn source alone doesn't definitively confirm active IPMI sales to expatriates.",LinkedIn Search,2026-07-20
Panama,LATAM,high,"MGM ASESORES DE SEGUROS on Instagram: ""Contar con ...",https://www.instagram.com/reel/DaQmztRxeYi/,,,Contar con un seguro de salud internacional ... PANAMA sura Regulado y Supervisado por la Superintendencia de Seguros y Reaseguros de Panamá.,72,"🟢 Strong IPMI match — MGM Asesores de Seguros appears to be a Panama-based insurance broker advertising international health insurance (seguro de salud internacional) and is regulated by Panama's insurance regulator, though the Instagram-only presence and limited verifiable information prevent higher confidence.",SerpApi Supplementary,2026-07-20
Costa Rica,LATAM,high,"The Liberty Company Insurance Brokers, LLC: Jobs",https://www.linkedin.com/company/the-liberty-company-insurance-brokers/jobs,,,"The Liberty Company Insurance Brokers, LLC. Promoting Peace of Mind with Great Care. $80,000.00 - $120,000.00. CA $40,000.00 - $45,000.00. International ...",72,"🟢 Strong IPMI match — The Liberty Company Insurance Brokers operates in Costa Rica with explicit mention of 'International' in the job posting description and positioning suggests they broker international health insurance for expatriates, though the LinkedIn jobs page alone doesn't fully confirm IPMI as their primary business line.",LinkedIn Search,2026-07-20
Costa Rica,LATAM,high,Prointel Corredores de Seguros S.A - Costa Rica,https://jm.linkedin.com/company/prointel-seguros-costa-rica,,,"Insurance broker recognized for excellence and quality in risk assessment … company in the national and international market, Health Insurance, Life Insurance, ...",72,"🟢 Strong IPMI match — Prointel is a recognized insurance broker in Costa Rica operating in both national and international markets with explicit mention of health insurance services, consistent with IPMI broker characteristics, though LinkedIn profile alone does not confirm active IPMI distribution without website verification.",LinkedIn Search,2026-07-20
Costa Rica,LATAM,high,Ahora también puedes pagar tus seguros de vida y salud ...,https://www.facebook.com/AseguradoraFortaleza/posts/ahora-tambi%C3%A9n-puedes-pagar-tus-seguros-de-vida-y-salud-desde-whatsapp-con-luka-m/1105681931589150/,,,... COSTA RICA Es un placer atenderle · No photo description ... seguro de salud internacional. #AseguradoraFortaleza #GlobalMed ...,72,"🟢 Strong IPMI match — Aseguradora Fortaleza appears to be a Costa Rican insurer offering international health insurance (seguro de salud internacional) and life insurance with modern payment options, suggesting they serve both domestic and expatriate markets.",SerpApi Supplementary,2026-07-20
