country,region,priority,broker_name,website,email,phone,description,ipmi_score,ipmi_verdict,source,run_date
Global,Global,medium,UnitedHealthcare Global,/unitedhealthcare-global,,,Listed in iPMI Global industry directory,85,🟢 Strong IPMI match — UnitedHealthcare Global is a division of UnitedHealth Group that actively offers international health insurance and expatriate coverage to globally mobile individuals and multinational employees.,iPMI Global Directory,2026-07-13
Global,Global,medium,Trawick International,/trawick-international,,,Listed in iPMI Global industry directory,85,🟢 Strong IPMI match — Trawick International is a recognized IPMI broker that specializes in international health insurance products for expatriates and globally mobile individuals across multiple countries.,iPMI Global Directory,2026-07-13
Global,Global,medium,Medium enterprise (75-149),,,,Listed on AXA Global Healthcare Broker,85,🟢 Strong IPMI match — Listed on AXA Global Healthcare Broker as a medium enterprise distributor suggests active involvement in selling international health insurance products through an established IPMI platform.,AXA Global Healthcare Broker,2026-07-13
Malaysia,South/SE Asia,high,Envisage International Corporation,https://www.linkedin.com/company/envisage-international-corporation,,,International Health and Travel Insurance As a specialized international health and travel insurance broker ... Bahasa Malaysia (Malay); Nederlands (Dutch),85,"🟢 Strong IPMI match — Company explicitly describes itself as a specialized international health and travel insurance broker with multilingual capabilities, indicating active distribution of international health insurance products.",LinkedIn Search,2026-07-13
Malaysia,South/SE Asia,high,Medibroker Ltd,https://mu.linkedin.com/company/medibroker-ltd,,,"Medibroker Ltd | 472 abonnés sur LinkedIn. Medibroker is an award-winning, fully independent international health insurance broker ... Bahasa Malaysia (Malaisien)",85,"🟢 Strong IPMI match — LinkedIn description explicitly identifies Medibroker as an 'award-winning, fully independent international health insurance broker,' indicating active distribution of IPMI products, though the LinkedIn-only source limits verification of current operations.",LinkedIn Search,2026-07-13
Estonia,Small Europe,medium,NOMADS.insure,https://ee.linkedin.com/company/nomads-insure,,,Specialized broker for digital nomads' global health insurance - e-Residents' company licensed in Estonia for the entire European Economic Area.,85,"🟢 Strong IPMI match — NOMADS.insure is explicitly described as a specialized broker for digital nomads' global health insurance licensed in Estonia for the EEA, indicating active distribution of international health insurance to mobile populations.",LinkedIn Search,2026-07-13
Uruguay,LATAM,medium,Mejor seguro de salud internacional en Uruguay,https://www.pacificprime.lat/es/country/uruguay-health-insurance/,,,"Los planes de seguro de salud internacional suelen ser ideales para los expatriados, ya que brindan cobertura en Uruguay y en todo el mundo. Además, los costos ...",85,🟢 Strong IPMI match — Pacific Prime is a known IPMI broker with a dedicated Uruguay country page offering international health insurance plans for expatriates with global coverage.,SerpApi Supplementary,2026-07-13
Uruguay,LATAM,medium,Cobertura de Seguro de Salud en América Latina,https://www.pacificprime.lat/es/country/,,,Uruguay Insurance Uruguay. ¿Es necesario un seguro de salud internacional para expatriados y viajeros en América Latina? ¡La respuesta es un rotundo sí! Los ...,85,🟢 Strong IPMI match — Pacific Prime is a recognized IPMI broker with a Latin American presence (pacificprime.lat) offering international health insurance specifically for expatriates and travelers in the region.,SerpApi Supplementary,2026-07-13
Uruguay,LATAM,medium,AOC Insurance broker: Expat health insurance,https://www.aoc-insurancebroker.com/,,,"AOC Insurance Broker ""Insurtech"" is leading global international health insurance for expatriates & employee ... Uruguay, Uzbekistan, Vanuatu, Venezuela ...",85,"🟢 Strong IPMI match — AOC Insurance Broker explicitly describes itself as providing 'global international health insurance for expatriates' with multi-country coverage, matching the definition of an IPMI broker.",SerpApi Supplementary,2026-07-13
Uruguay,LATAM,medium,Best International Health Insurance Plans for Expats in ...,https://www.pacificprime.com/blog/top-uruguay-insurance-companies-expats.html,,,"Some of the top international health insurance providers for expats in Uruguay include Allianz, AXA, Best Doctors, Cigna, GeoBlue, IMG, ...",85,"🟢 Strong IPMI match — Pacific Prime is a recognized IPMI broker that actively sells and distributes international health insurance to expats and globally mobile individuals across multiple markets, as evidenced by their blog content curating top providers for expats in Uruguay.",SerpApi Supplementary,2026-07-13
Paraguay,LATAM,low,Mejor seguro de salud internacional en Paraguay,https://www.pacificprime.lat/es/country/paraguay-health-insurance/,,,Para obtener más información sobre el seguro de salud en Paraguay y los planes de seguro de salud internacional que cumplen con las regulaciones locales que ...,85,🟢 Strong IPMI match — Pacific Prime is a recognized IPMI broker operating through their Latin American domain (pacificprime.lat) offering international health insurance plans for Paraguay that comply with local regulations.,SerpApi Supplementary,2026-07-13
Paraguay,LATAM,low,Health Insurance in Paraguay,https://www.april-international.com/en/destinations/america/health-insurance-in-paraguay,,,What health insurance for expatriates in Paraguay? ... How can you protect yourself from pollution abroad ? Long-term international health insurance for expats.,85,🟢 Strong IPMI match — April International is a recognized IPMI broker offering long-term international health insurance specifically for expatriates across multiple destinations including Paraguay.,SerpApi Supplementary,2026-07-13
Honduras,LATAM,low,Mejor seguro de salud internacional en Honduras,https://www.pacificprime.lat/es/country/honduras-health-insurance/,,,Mejor seguro de salud internacional en Honduras · Sobre Nosotros · País · Planes · Aseguradoras · Recursos · Blog. Seguro de salud en Honduras. Seguro médico ...,85,"🟢 Strong IPMI match — Pacific Prime is a recognized IPMI broker with a dedicated webpage for Honduras health insurance, offering international health plans to expatriates and globally mobile individuals across Latin America.",SerpApi Supplementary,2026-07-13
El Salvador,LATAM,low,Top Insurance Companies in El Salvador for Expats,https://www.pacificprime.com/blog/top-el-salvador-insurance-companies-expats.html,,,"Allianz Care is a top international health insurance provider, trusted by expats and their families in El Salvador. With access to more than 1.9 ...",85,"🟢 Strong IPMI match — Pacific Prime is a known IPMI broker that actively sells and distributes international health insurance to expats globally, and this URL is their content marketing resource specifically targeting expat insurance in El Salvador.",SerpApi Supplementary,2026-07-13
El Salvador,LATAM,low,International Health Insurance for Expats in El Salvador,https://www.pacificprime.com/country/americas/el-salvador-health-insurance-pacific-prime-international/,,,"Notable international health insurance providers for expats in El Salvador include April International, Blue Cross Blue Shield Global Solutions, and more. Below ...",85,🟢 Strong IPMI match — Pacific Prime is a recognized international health insurance broker that actively sells IPMI products to expatriates and globally mobile individuals across multiple countries including El Salvador.,SerpApi Supplementary,2026-07-13
Thailand,South/SE Asia,high,Alea - Health Insurance & Benefits,https://www.linkedin.com/company/alea-health-insurance,,,"... insurance broker specialised in health insurance & employee benefits ... Thailand, the UAE, France and beyond - wherever you are, we find the right ...",78,"🟢 Strong IPMI match — Company describes itself as an insurance broker specializing in health insurance and employee benefits across multiple countries (Thailand, UAE, France), indicating IPMI distribution, though LinkedIn profile alone lacks explicit confirmation of current active IPMI sales.",LinkedIn Search,2026-07-13
Iceland,Small Europe,medium,Allianz Partners APAC & MEA - 领英,https://cn.linkedin.com/company/allianzpartnerssingapore,,,"... international health and life, travel insurance, mobility and assistance. ... agents and through online channels. End to end. To our team: thank you. This ...",78,"🟢 Strong IPMI match — Allianz Partners is a legitimate global insurance company explicitly offering international health and life insurance with mobility services, though the LinkedIn entry's fragmented description and Iceland country listing (likely data error) prevent higher confidence.",LinkedIn Search,2026-07-13
Global,Global,medium,Digital Nomads Insurance,/in-focus/digital-nomads-insurance,,,Listed in iPMI Global industry directory,75,"🟢 Strong IPMI match — The name and description suggest a provider focused on insuring digital nomads and globally mobile individuals, which is a core IPMI market segment, though the generic website path raises minor verification concerns.",iPMI Global Directory,2026-07-13
Global,Global,medium,International Medical Group,/international-medical-group,,,Listed in iPMI Global industry directory,75,"🟢 Strong IPMI match — International Medical Group is a recognized IPMI broker that actively sells international health insurance products to expatriates and globally mobile individuals, though the entry lacks sufficient detail to verify current operations.",iPMI Global Directory,2026-07-13
Global,Global,medium,MDabroad,/mdabroad,,,Listed in iPMI Global industry directory,75,"🟢 Strong IPMI match — MDabroad appears to be an IPMI broker based on its listing in the iPMI Global Directory and name suggesting international medical services, though limited website information prevents higher confidence verification.",iPMI Global Directory,2026-07-13
Oman,Middle East,high,Fidelity Insurance Brokers Private Limited,https://pk.linkedin.com/company/fidelity-insurance-brokers,,,"... International Health Insurance, Kidnap & Ransom, and Retail Practice Group ... Lockton is the world's largest privately held independent insurance broker ...",75,"🟢 Strong IPMI match — Fidelity Insurance Brokers is described as offering International Health Insurance among other lines, and appears to be part of or affiliated with Lockton, a major independent insurance broker network that operates globally.",LinkedIn Search,2026-07-13
Qatar,Middle East,high,Lifecare International,https://ae.linkedin.com/company/lifecare-international,,,"As an independent ISO-9001 certified insurance broker, we look after the insurance and financial service needs of expatriates and local nationals.",75,"🟢 Strong IPMI match — Independent ISO-9001 certified insurance broker explicitly stating they serve expatriates and local nationals with insurance needs, consistent with IPMI broker profile, though LinkedIn profile alone does not confirm active IPMI sales without website verification.",LinkedIn Search,2026-07-13
Jordan,Middle East,high,INTEGRO - International Integrated Insurance Brokers LLC,https://www.linkedin.com/company/integro---international-integrated-insurance-brokers-llc,,,INTEGRO - International Integrated Insurance Brokers LLC is authorized and regulated by the Jordanian Insurance ... International Health. Locations. Primary.,75,"🟢 Strong IPMI match — INTEGRO is a Jordanian-regulated insurance broker with explicit mention of 'International Health' services, indicating active distribution of international health insurance products to globally mobile clients.",LinkedIn Search,2026-07-13
Malaysia,South/SE Asia,high,Luke Medikal Internasional,https://www.linkedin.com/company/luke-medikal-internasional,,,... international health insurance Health protection options from world ... Malaysia for their expat medical needs. From faster access to specialists to ...,75,"🟢 Strong IPMI match — LinkedIn profile explicitly mentions international health insurance and expat medical needs in Malaysia, indicating active distribution of IPMI products, though limited information available to fully verify operational status.",LinkedIn Search,2026-07-13
Malaysia,South/SE Asia,high,daily health insurance group,https://at.linkedin.com/company/dailyhealth,,,... international health solutions for the globally mobile community. Our ... Insurance Broker have been trusted partners in our operations across Vietnam ...,75,"🟢 Strong IPMI match — Company explicitly describes itself as providing 'international health solutions for the globally mobile community' and references being an 'Insurance Broker' with operations across Vietnam, indicating active distribution of international health insurance.",LinkedIn Search,2026-07-13
Luxembourg,Small Europe,high,Suisscourtage Assurances,https://mc.linkedin.com/company/suisscourtage-assurances,,,"... Luxembourg, Fort Lauderdale ... OnlyHealth | International Health Insurance https://onlyhealth-insurance.com.",75,"🟢 Strong IPMI match — Suisscourtage Assurances is a Luxembourg-based insurance broker with documented connection to OnlyHealth, an international health insurance provider serving expatriates and globally mobile individuals.",LinkedIn Search,2026-07-13
Costa Rica,LATAM,high,Insured Nomads,https://www.linkedin.com/company/insurednomads,,,"Global insurance provider for the borderless citizen and multinational/distributed teams for health, travel, and wellbeing plans.",75,"🟢 Strong IPMI match — Description explicitly targets borderless citizens and multinational/distributed teams with global health and wellbeing plans, consistent with IPMI broker positioning, though LinkedIn-only presence and lack of verified website access create moderate uncertainty.",LinkedIn Search,2026-07-13
Costa Rica,LATAM,high,"NFP, an Aon company",https://www.linkedin.com/company/wearenfp,,,"NFP, an Aon company, helps companies and individuals address today's most significant Risk Capital and Human Capital challenges.",75,"🟢 Strong IPMI match — NFP is a legitimate global insurance broker owned by Aon that operates internationally and typically serves multinational companies and globally mobile individuals with comprehensive insurance solutions including IPMI, though the LinkedIn profile alone does not explicitly confirm active IPMI distribution in Costa Rica.",LinkedIn Search,2026-07-13
Uruguay,LATAM,medium,Asegurate.uy – Broker de Seguros en Uruguay | Cotizá Auto ...,https://asegurate.uy/,,,Broker de seguros en Uruguay con más de 30 años de experiencia. Cotizá ... Seguro de Salud Internacional. Internación en Mayo Clinic · Cleveland Clinic ...,75,"🟢 Strong IPMI match — Asegurate.uy is a Uruguayan insurance broker with 30+ years experience that explicitly offers 'Seguro de Salud Internacional' (International Health Insurance) with coverage at major international providers like Mayo Clinic and Cleveland Clinic, indicating IPMI distribution capability.",SerpApi Supplementary,2026-07-13
Uruguay,LATAM,medium,"San Cristóbal Seguros on Instagram: ""¿Sabías que con San ...",https://www.instagram.com/reel/DTLAo--jbh0/?hl=es,,,"... Uruguay, Paraguay, Chile, Bolivia, Brasil o Perú, con San Cristóbal ... ¿Sabías que existe un seguro de salud internacional desde USD 20 al mes?",75,"🟢 Strong IPMI match — San Cristóbal Seguros explicitly advertises international health insurance ('seguro de salud internacional') covering multiple countries (Uruguay, Paraguay, Chile, Bolivia, Brasil, Perú) with pricing accessible to globally mobile individuals, indicating IPMI distribution activity.",SerpApi Supplementary,2026-07-13
Uruguay,LATAM,medium,International health insurance in Uruguay for expatriates,https://globalhealth.insurance/destination/international-health-insurance-in-uruguay-for-expatriates/,,,Global Health provides expatriates in Uruguay with flexible international health insurance and worldwide coverage tailored to their needs.,75,"🟢 Strong IPMI match — The entry describes Global Health as providing flexible international health insurance with worldwide coverage specifically for expatriates in Uruguay, which aligns with IPMI broker operations, though the URL structure suggests it may be a content/comparison page rather than a direct broker.",SerpApi Supplementary,2026-07-13
Uruguay,LATAM,medium,Global Individual Health | Brokers | Cigna Europe,https://www.cignaglobal.com/brokers/global-individual-health,,,"Retiree guide to International health Insurance · A guide to ... Uruguay, Uzbekistan, Vanuatu, Venezuela, Vietnam, Virgin Islands (British), Virgin ...",75,"🟢 Strong IPMI match — Cigna Global is a known IPMI provider offering international health insurance, and this appears to be their broker directory page, though the landing page itself focuses on educational content rather than direct sales.",SerpApi Supplementary,2026-07-13
Paraguay,LATAM,low,mapfre,https://www.facebook.com/MapfrePY/posts/descubr%C3%AD-los-beneficios-que-nuestro-seguro-de-salud-internacional-tiene-para-vos/818161227021282/,,,Descubrí los beneficios que nuestro seguro de salud internacional ... PARAGUAY S.A. ⚠️ Y PARA LA GENTE QUE HAYA ADQUIRIDO EL TRÉBOL DE ...,75,"🟢 Strong IPMI match — MAPFRE is a major multinational insurance group that explicitly advertises 'seguro de salud internacional' (international health insurance) on their Paraguay Facebook page, indicating they actively sell IPMI products to expatriates and internationally mobile individuals.",SerpApi Supplementary,2026-07-13
Ecuador,LATAM,medium,"Expat Health insurance guide in Ecuador, America",https://www.aoc-insurancebroker.fr/en/ecuador-expat-health-insurance-guide,,,Ecuador Expat Health Insurance Guide. Full Name ... AOC Insurance Broker: International Health Insurance comparisons ... Insurance Services. Ask for a quotation ...,75,"🟢 Strong IPMI match — AOC Insurance Broker explicitly offers international health insurance comparisons and quotations for expat health insurance, indicating active IPMI distribution services.",SerpApi Supplementary,2026-07-13
Guatemala,LATAM,medium,NowCompare - International Health Insurance,https://nowcompare.com/international-health-insurance,,,Guatemala; Guernsey; Guinea; Guinea-Bissau; Guyana; Haiti; Holy See ... International health insurance broker. Expat Reviews. star. Previous.,75,"🟢 Strong IPMI match — NowCompare is described as an 'International health insurance broker' with a website section dedicated to international health insurance and coverage across multiple countries, indicating active distribution of IPMI products to expats.",SerpApi Supplementary,2026-07-13
Honduras,LATAM,low,"Bupa Ecuador on Instagram: "" Con Bupa Global Care ya ...",https://www.instagram.com/reel/DOtcYt7lXUX/,,,... Seguro de salud internacional De Chile y el mundo Consultas médicas y enfermedades de alto costo Complementa tu Isapre Cobertura principal ...,75,"🟢 Strong IPMI match — Bupa Global Care is an international health insurance product explicitly marketed for cross-border coverage (Chile and worldwide), targeting expat and globally mobile individuals with international medical consultations and high-cost disease coverage.",SerpApi Supplementary,2026-07-13
Kuwait,Middle East,high,Al Mulla Insurance Brokerage,https://www.linkedin.com/company/al-mulla-insurance-brokerage/,,,"AMIB is a full-service, independent insurance agency able to offer a wide spectrum of Life/Non-Life insurance products including Group Life/Health, Fire, ...",72,"🟢 Strong IPMI match — Al Mulla Insurance Brokerage is an independent insurance agency in Kuwait offering Group Life/Health and other insurance products, and as a full-service broker in a Gulf hub country with significant expatriate populations, it likely distributes international health insurance to globally mobile individuals and expat employees.",LinkedIn Search,2026-07-13
Kuwait,Middle East,high,Elite insurance Consultants,https://www.linkedin.com/company/elite-insurance-consultants-company,,,"Elite insurance consultations Company , provides a variety of insurance services such as insurance solutions , risk surveys. International Insurance Brokerage ...",72,"🟢 Strong IPMI match — Company explicitly mentions 'International Insurance Brokerage' in description and provides insurance solutions, suggesting IPMI services, though limited detail on LinkedIn prevents higher certainty.",LinkedIn Search,2026-07-13
Kuwait,Middle East,high,ACE Gallagher,https://www.linkedin.com/company/acegallagher/,,,"ACE Gallagher is a leading regional broking firm with over 70 years of expertise. Known for earning the trust of its partners and clients alike, ...",72,"🟢 Strong IPMI match — ACE Gallagher is a regional broking firm in Kuwait with 70+ years of experience that likely handles insurance distribution including IPMI for multinational clients, though the limited description does not explicitly confirm international health insurance focus.",LinkedIn Search,2026-07-13
Bahrain,Middle East,high,Nextcare,https://fr.linkedin.com/company/nextcare?trk=ppro_cprof,,,"Being a member of the renowned Allianz Group, Nextcare creates and tailors health insurance management programs covering Customer Service, Risk Assessment ...",72,"🟢 Strong IPMI match — Nextcare is an Allianz Group member based in Bahrain offering health insurance management programs, indicating international health insurance distribution capabilities typical of IPMI brokers, though the LinkedIn profile alone does not explicitly confirm active IPMI sales.",LinkedIn Search,2026-07-13
Bahrain,Middle East,high,Al Futtaim Willis Co. LLC,https://uk.linkedin.com/company/al-futtaim-willis?trk=ppro_cprof,,,"Al Futtaim Willis Co. LLC is a commercial insurance broker operating within the GCC since 1976. Al-Futtaim Willis Co LLC P.O. Box 152, Dubai, UAE Tel: +971 ...",72,"🟢 Strong IPMI match — Al Futtaim Willis is a major commercial insurance broker operating across the GCC since 1976 with established presence in Dubai and Bahrain, and as a Willis (global broker) affiliate likely distributes international health insurance among other commercial lines, though the entry does not explicitly confirm IPMI as a primary offering.",LinkedIn Search,2026-07-13
Bahrain,Middle East,high,GlobeMed Group,https://www.linkedin.com/company/globemed-limited,,,GlobeMed provides broad automated management of healthcare benefits and actuarial and international health services.,72,"🟢 Strong IPMI match — GlobeMed's description of providing automated healthcare benefits management and international health services suggests IPMI brokerage operations, though the LinkedIn-only footprint and lack of direct website verification creates moderate uncertainty.",LinkedIn Search,2026-07-13
Qatar,Middle East,high,Lifecare International (Qatar) LLC,,,,Licensed insurance broker — Qatar financial regulator,72,"🟢 Strong IPMI match — Licensed insurance broker regulated by Qatar financial authority with name suggesting international health focus, though lacking website confirmation of active IPMI distribution.",Gov Regulator — Qatar,2026-07-13
Jordan,Middle East,high,Lockton,https://www.linkedin.com/company/lockton-companies,,,"... insurance, executive risks, health risk management, insurance broker, benefits broker, insurance brokerage, marine insurance, aviation insurance, and ...",72,"🟢 Strong IPMI match — Lockton is a global insurance broker group with presence in Jordan that explicitly lists health risk management and benefits brokerage services, which typically include international health insurance for expatriates and multinational employees.",LinkedIn Search,2026-07-13
Sri Lanka,South/SE Asia,high,George Steuart Insurance Brokers Pvt Ltd.,https://lk.linkedin.com/company/gsinsurancebrokers,,,As an independent insurance broker we have access to all registered insurers in Sri Lanka and a to a network of global partners. George Steuart Insurance ...,72,"🟢 Strong IPMI match — Independent insurance broker based in Sri Lanka with stated access to global partner network, positioning consistent with IPMI distribution, though LinkedIn-only presence and lack of website verification create some uncertainty.",LinkedIn Search,2026-07-13
Thailand,South/SE Asia,high,"VanderSure Co.,Ltd",https://www.linkedin.com/company/vandersure,,,... International health insurance across the Asia Pacific region take place. A ... We Asked a Thailand Health Insurance Broker Your Questions. https://www ...,72,"🟢 Strong IPMI match — Company name and LinkedIn description explicitly reference international health insurance brokerage services across Asia Pacific region, consistent with IPMI broker operations, though limited verifiable detail from excerpt alone.",LinkedIn Search,2026-07-13
Thailand,South/SE Asia,high,HCI Group Global,https://uk.linkedin.com/company/hcigroupglobal,,,"International Health ... Cover available across Thailand, Vietnam, Cambodia ...",72,"🟢 Strong IPMI match — HCI Group Global appears to be an IPMI broker based on the description mentioning 'International Health' coverage across multiple countries (Thailand, Vietnam, Cambodia), though the limited information and LinkedIn-only presence creates moderate uncertainty about their full scope and operational status.",LinkedIn Search,2026-07-13
Thailand,South/SE Asia,high,Tenzing Pacific Services,https://de.linkedin.com/company/tenzing-pacific-services?trk=public_profile_experience-item_profile-section-card_image-click,,,"... Thailand. Our customers are expat and local, personal and corporate ... True international health insurance is designed for global citizens. Providers ...",72,"🟢 Strong IPMI match — LinkedIn profile indicates Tenzing Pacific Services serves expat and corporate customers with international health insurance products, consistent with IPMI broker operations, though full verification is limited by LinkedIn-only source.",LinkedIn Search,2026-07-13
Thailand,South/SE Asia,high,Andika Assistant,https://id.linkedin.com/company/andikaassistant,,,"... international health, personal accident, and group-term life insurance, we ... ProASIA Insurance Broker & Consultant. Asuransi. Jakarta, DKI Jakarta · PT ...",72,"🟢 Strong IPMI match — Entry mentions international health insurance and references ProASIA Insurance Broker & Consultant, indicating involvement in IPMI distribution, though limited detail and LinkedIn-only information creates some uncertainty.",LinkedIn Search,2026-07-13
Philippines,South/SE Asia,high,Abacare Group Limited,https://th.linkedin.com/company/abacare-group-limited/,,,"เกี่ยวกับเรา. We are a leading international insurance broker ... 1201 Keppel Center, Cardinal Rosales Avenue. Cebu City, Philippines ... international health ...",72,"🟢 Strong IPMI match — Abacare Group Limited explicitly identifies as an international insurance broker based in Philippines with mention of international health insurance services, though limited detail is available from the LinkedIn source alone.",LinkedIn Search,2026-07-13
Malaysia,South/SE Asia,high,"AOC Insurance Broker ""Insurtech""​ is leading a global ...",https://fr.linkedin.com/company/aoc-insurance-broker,,,"AOC Insurance Broker ""Insurtech"" is leading a global international health insurance advisor ... Bahasa Malaysia (Malaisien); Nederlands (Néerlandais); Norsk ...",72,"🟢 Strong IPMI match — AOC Insurance Broker explicitly identifies as a 'global international health insurance advisor' with multilingual capabilities and Malaysia-based operations, consistent with IPMI brokers serving expatriates, though LinkedIn-only presence and limited verifiable information prevent higher confidence.",LinkedIn Search,2026-07-13
Lithuania,Small Europe,medium,W Denis Europe UADBB,https://lt.linkedin.com/company/w-denis-europe-uab,,,"W Denis Insurance Brokers. Specialties LifeScience Insurance, Product Liability, Medical Malpractice, International Healthcare, Management Liability,",72,"🟢 Strong IPMI match — W Denis Europe is an insurance broker based in Lithuania that explicitly lists 'International Healthcare' among its specialties, indicating it distributes international health insurance products, though the LinkedIn profile alone does not confirm active IPMI distribution to expatriates.",LinkedIn Search,2026-07-13
Cyprus,Small Europe,high,Nicos Rossos Insurance Brokers,https://cy.linkedin.com/company/nicos-rossos-insurance,,,"✓ Valid international health coverage Not all policies are accepted ... As an Insurance Broker working closely with HR teams in Cyprus, we know how ...",72,"🟢 Strong IPMI match — Cyprus-based insurance broker explicitly mentioning international health coverage and HR team support suggests IPMI focus, though limited website information prevents higher confidence.",LinkedIn Search,2026-07-13
Iceland,Small Europe,medium,Roamly,https://www.linkedin.com/company/roamlyinsurance,,,"Operating in the U.S., Canada, and Europe with global insurance partners, Roamly is where the insurance industry and technology intersect to enhance global ...",72,"🟢 Strong IPMI match — Roamly appears to be an insurance technology company operating across U.S., Canada, and Europe with global insurance partners, suggesting IPMI distribution, though the limited LinkedIn description lacks explicit confirmation of selling international health insurance directly.",LinkedIn Search,2026-07-13
Montenegro,Small Europe,medium,AZURE,https://www.linkedin.com/company/someya-group-risk-management-sgrm-,,,AZURE Health Insurance especially for Professional Yacht Crew and for Managment/Crew Payroll companies worldwide. Licensed Health Insurance Agent,72,"🟢 Strong IPMI match — AZURE appears to be a licensed health insurance agent in Montenegro specializing in international health insurance for professional yacht crew and global payroll companies, which is consistent with IPMI brokerage for mobile/expatriate populations, though the LinkedIn URL mismatch and limited verifiable details prevent higher confidence.",LinkedIn Search,2026-07-13
Panama,LATAM,high,VIP Universal Medical Insurance Group (VUMI),https://www.linkedin.com/company/vumigroupinsurance,,,VIP Universal Medical Insurance Group (VUMI®) is an international health insurance company offering exclusive major medical insurance products and VIP medical ...,72,"🟢 Strong IPMI match — VIP Universal Medical Insurance Group (VUMI) based in Panama appears to offer international health insurance products with VIP positioning, consistent with IPMI brokers serving expatriates and globally mobile individuals, though limited detail is available from the LinkedIn-only entry.",LinkedIn Search,2026-07-13
